site,regime_ref,T_amb,HR,LF,P_mesuree,P_ref,delta_P,T_norm,I_ineff_ref,cluster_fcm,u_0,u_1,u_2,cluster_gmm
Site_1,0,28.4,52.98,0.8384,47.53,50.0,-0.0494,0.2798,0.1303,0,0.8564332387031118,0.11923120355775896,0.024335557739129234,0
Site_1,2,44.63,44.36,0.6429,68.66,50.0,0.3732,0.821,0.5267,2,0.056545681061694233,0.29112886298714097,0.6523254559511648,2
Site_1,1,29.04,62.23,0.85,65.46,50.0,0.3093,0.3015,0.2747,1,0.29312072247588306,0.6058425996023702,0.10103667792174673,1
Site_1,0,21.12,56.31,0.8158,48.74,50.0,-0.0252,0.0374,0.0499,0,0.9193526275161713,0.06290546104416948,0.017741911439659325,0
Site_1,0,20.79,54.04,0.8412,58.0,50.0,0.16,0.0264,0.113,0,0.7533935953626228,0.1939384587785919,0.052667945858785356,0
Site_1,1,31.82,62.68,0.7107,57.97,50.0,0.1593,0.3941,0.2675,1,0.06178878503520289,0.9064167795489225,0.0317944354158745,1
Site_1,0,23.45,59.64,0.8564,40.79,50.0,-0.1842,0.1149,0.0689,0,0.9032046160705087,0.07373695593325628,0.023058427996234903,0
Site_1,2,44.09,49.18,0.5247,75.1,50.0,0.5019,0.8029,0.6019,2,0.005096005568976438,0.019273036501139696,0.9756309579298839,2
Site_1,1,37.4,69.37,0.7704,55.19,50.0,0.1038,0.5801,0.2957,1,0.11852430728763216,0.8064630728068833,0.07501261990548459,1
Site_1,1,36.22,67.99,0.7571,58.08,50.0,0.1616,0.5407,0.3106,1,0.048420073403196554,0.9156785321271027,0.03590139446970081,1
Site_1,1,34.66,61.88,0.7436,58.95,50.0,0.179,0.4886,0.3029,1,0.01970964116773926,0.9665517311361721,0.013738627696088732,1
Site_1,0,24.48,47.58,0.9452,54.45,50.0,0.089,0.1494,0.1033,0,0.8753365116555529,0.0991031124217638,0.025560375922683284,0
Site_1,1,31.97,60.82,0.6584,65.76,50.0,0.3152,0.3989,0.3498,1,0.061981481623862036,0.8332816653698116,0.1047368530063264,1
Site_1,2,36.0,46.23,0.72,72.56,50.0,0.4513,0.5333,0.4457,1,0.08521268731913086,0.6265206819604259,0.28826663072044323,1
Site_1,0,24.9,54.14,0.8733,49.33,50.0,-0.0134,0.1632,0.0825,0,0.9943416873568617,0.004569164899528936,0.0010891477436092375,0
Site_1,2,45.37,57.8,0.5019,79.7,50.0,0.594,0.8455,0.6628,2,0.018658096083625047,0.05946998578974087,0.921871918126634,2
Site_1,0,18.28,53.2,0.9138,44.99,50.0,-0.1001,0.0,0.0172,0,0.9246685779348686,0.05658183296588775,0.018749589099243638,0
Site_1,0,21.08,57.77,0.8993,48.8,50.0,-0.024,0.036,0.0327,0,0.9599386204103215,0.030873081263010624,0.00918829832666792,0
Site_1,2,43.52,35.27,0.5036,61.53,50.0,0.2307,0.7839,0.4774,2,0.06736089568987469,0.2808867112349953,0.6517523930751301,2
Site_1,1,36.05,67.18,0.7453,63.23,50.0,0.2647,0.5351,0.3573,1,0.022826712256126886,0.9478859607114023,0.029287327032470892,1
Site_1,1,32.69,63.87,0.7509,60.35,50.0,0.207,0.4229,0.291,1,0.03222994245593082,0.949572172710181,0.018197884833888223,1
Site_1,0,27.67,60.39,0.7508,53.5,50.0,0.07,0.2557,0.1708,0,0.515162256201068,0.4259221944244575,0.058915549374474456,1
Site_1,1,36.37,55.1,0.6981,59.35,50.0,0.1869,0.5456,0.3354,1,0.021035802903468428,0.9522835626679019,0.026680634428629727,1
Site_1,2,44.16,39.68,0.6095,66.9,50.0,0.3379,0.8055,0.5121,2,0.05105459544586937,0.2709950405950471,0.6779503639590835,2
Site_1,0,29.23,48.18,0.8525,58.0,50.0,0.16,0.3076,0.2092,0,0.4824565055440097,0.4570207424493175,0.06052275200667279,1
Site_1,0,26.73,51.72,0.8396,44.0,50.0,-0.1199,0.2243,0.1106,0,0.905091102522588,0.07574351510862366,0.01916538236878835,0
Site_1,1,35.87,59.74,0.7953,61.47,50.0,0.2293,0.529,0.3293,1,0.06426650688151718,0.8866975423879908,0.049035950730491946,1
Site_1,0,20.41,41.32,0.7978,47.9,50.0,-0.0419,0.0137,0.0452,0,0.8845957707707454,0.08899211774090852,0.026412111488346074,0
Site_1,0,21.23,46.19,0.9064,49.71,50.0,-0.0057,0.0409,0.033,0,0.9568493915044347,0.03333931803222835,0.009811290463337077,0
Site_1,0,15.0,47.64,0.7966,51.53,50.0,0.0306,0.0,0.0545,0,0.8456171953344033,0.11983176348193925,0.034551041183657503,0
Site_1,0,22.92,48.08,0.8672,41.98,50.0,-0.1604,0.0974,0.0607,0,0.9264643806446878,0.05614031886522693,0.017395300490085197,0
Site_1,2,39.29,46.57,0.5573,73.96,50.0,0.4792,0.6429,0.5292,2,0.014919099792177096,0.0724697043745723,0.9126111958332506,2
Site_1,1,32.14,72.75,0.7358,64.66,50.0,0.2932,0.4046,0.3264,1,0.04573495279517408,0.9128594503834977,0.04140559682132829,1
Site_1,0,28.65,41.21,0.8863,51.68,50.0,0.0335,0.2884,0.1388,0,0.8265953717428316,0.14572736314009124,0.02767726511707706,0
Site_1,0,29.77,54.46,0.9255,48.45,50.0,-0.0309,0.3255,0.1288,0,0.8174217595262938,0.1484896059907231,0.03408863448298313,0
Site_1,2,42.23,35.82,0.4315,70.71,50.0,0.4142,0.7411,0.5595,2,0.018113858842431982,0.06364396512524123,0.9182421760323269,2
Site_1,0,23.48,66.5,1.0,50.19,50.0,0.0037,0.116,0.0423,0,0.8861204009152526,0.08705933663557879,0.02682026244916865,0
Site_1,1,32.11,61.27,0.8365,62.35,50.0,0.247,0.4037,0.2852,1,0.1850991776756484,0.7437942281242502,0.07110659420010135,1
Site_1,1,36.83,57.27,0.7092,62.12,50.0,0.2424,0.5611,0.3636,1,0.019678609064628486,0.9477037842036521,0.03261760673171935,1
Site_1,0,17.57,55.83,0.9447,45.74,50.0,-0.0851,0.0,0.0111,0,0.9147337539097177,0.06381681275368616,0.021449433336596126,0
Site_1,0,28.33,49.85,1.0,44.49,50.0,-0.1102,0.2777,0.0972,0,0.8232685726954901,0.13551221334274946,0.04121921396176033,0
Site_1,0,29.11,66.37,0.9135,41.59,50.0,-0.1682,0.3037,0.1236,0,0.825206522663851,0.13608745833138983,0.038706019004759354,0
Site_1,0,20.46,35.0,0.8847,44.01,50.0,-0.1199,0.0155,0.0285,0,0.9286483940722571,0.053836410629942065,0.01751519529780087,0
Site_1,0,22.99,51.7,0.9414,47.28,50.0,-0.0544,0.0997,0.0466,0,0.9596994101947117,0.031076141690332036,0.009224448114956261,0
Site_1,1,40.46,69.12,0.7511,58.72,50.0,0.1744,0.6821,0.367,1,0.09373930748680366,0.7760993880269185,0.1301613044862779,1
Site_1,0,32.49,46.37,0.8417,45.42,50.0,-0.0917,0.4163,0.1774,0,0.6290414869900249,0.3060563008669455,0.06490221214302955,0
Site_1,1,26.0,68.11,0.8323,67.32,50.0,0.3464,0.2,0.2594,1,0.35396417919348894,0.5252113801426392,0.12082444066387184,1
Site_1,1,32.19,58.07,0.6835,63.37,50.0,0.2673,0.4062,0.3258,1,0.03416021219589054,0.9263754671272523,0.039464320676857206,1
Site_1,0,26.52,40.75,0.9618,58.0,50.0,0.16,0.2173,0.1557,0,0.7194466493404045,0.22520930394349017,0.055344046716105315,0
Site_1,1,35.31,77.75,0.7676,65.23,50.0,0.3047,0.5102,0.3622,1,0.047011082951871265,0.8965955019482431,0.05639341509988557,1
Site_1,0,21.39,41.99,0.7936,56.23,50.0,0.1246,0.0462,0.1135,0,0.7435662407903331,0.20462238675788638,0.05181137245178058,0
Site_1,2,41.99,43.02,0.5697,79.76,50.0,0.5952,0.7331,0.6105,2,0.02016753926906247,0.07457795617183054,0.9052545045591072,2
Site_1,0,17.86,64.38,0.9634,48.3,50.0,-0.034,0.0,0.0073,0,0.9046722985801048,0.07152668858654963,0.02380101283334545,0
Site_1,0,21.69,50.29,0.7508,54.84,50.0,0.0968,0.0564,0.1132,0,0.6963158301181457,0.24274247628695558,0.06094169359489877,0
Site_1,1,27.6,59.49,0.6729,64.56,50.0,0.2913,0.2532,0.2851,1,0.168586553172257,0.7061542313363278,0.1252592154914152,1
Site_1,1,39.05,53.02,0.8415,56.7,50.0,0.134,0.6349,0.3142,1,0.18477309199698885,0.7002915193538602,0.11493538864915089,1
Site_1,1,26.43,72.91,0.7399,69.67,50.0,0.3935,0.2142,0.304,1,0.2289773642332444,0.6099544160708402,0.16106821969591542,1
Site_1,0,23.76,51.23,1.0,41.75,50.0,-0.1651,0.1254,0.0439,0,0.8657918683941794,0.09993405708142483,0.034274074524395785,0
Site_1,1,35.07,58.62,0.85,57.41,50.0,0.1482,0.5023,0.2725,1,0.21720845643532397,0.7066944904713771,0.0760970530932989,1
Site_1,0,25.37,64.4,0.7698,43.79,50.0,-0.1243,0.1789,0.1086,0,0.8226945709766857,0.14033358466238294,0.0369718443609314,0
Site_1,2,42.64,64.2,0.4157,90.0,50.0,0.8,0.7546,0.741,2,0.06400567596133853,0.15800537310417107,0.7779889509344904,2
Site_1,2,42.0,39.66,0.5239,69.58,50.0,0.3916,0.7333,0.5281,2,0.012929490133487872,0.060099338634685695,0.9269711712318266,2
Site_1,1,34.61,56.15,0.7647,63.1,50.0,0.262,0.487,0.3354,1,0.029066371475122768,0.944564804726364,0.026368823798513262,1
Site_1,0,15.9,50.08,0.9514,48.71,50.0,-0.0259,0.0,0.0097,0,0.9127220324751226,0.06575083925446665,0.021527128270410704,0
Site_1,1,41.1,60.28,0.5696,58.88,50.0,0.1776,0.7034,0.4122,1,0.0883756559782894,0.510558118173424,0.40106622584828655,1
Site_1,1,30.54,62.17,0.6748,69.62,50.0,0.3925,0.3512,0.3646,1,0.10699677043838421,0.7102459135580171,0.18275731600359854,1
Site_1,2,39.25,37.83,0.5135,69.56,50.0,0.3913,0.6417,0.498,2,0.021452483305496362,0.10573936528691769,0.8728081514075858,2
Site_1,1,31.17,62.19,0.6935,55.48,50.0,0.1095,0.3722,0.2409,1,0.14072569177858632,0.8006412933340015,0.058633014887412134,1
Site_1,1,34.64,63.71,0.85,63.54,50.0,0.2708,0.488,0.3227,1,0.15342271099622137,0.7575366039921154,0.08904068501166319,1
Site_1,2,42.77,61.29,0.3414,64.33,50.0,0.2866,0.7591,0.5264,2,0.07215528758381842,0.20514783404784653,0.7226968783683351,2
Site_1,0,22.46,45.77,0.8138,51.41,50.0,0.0282,0.082,0.0786,0,0.9080977672678582,0.0736728918751229,0.018229340857019025,0
Site_1,1,31.43,62.06,0.7805,56.19,50.0,0.1237,0.3811,0.233,1,0.21356268670433406,0.7359561734590012,0.05048113983666471,1
Site_1,1,35.45,75.8,0.6964,58.5,50.0,0.17,0.5149,0.3174,1,0.0202303581284584,0.9588091376428624,0.02096050422867927,1
Site_1,1,33.33,57.46,0.7566,51.9,50.0,0.0379,0.4442,0.2212,1,0.2504368509690567,0.6814445097025774,0.06811863932836587,1
Site_1,0,25.03,55.16,0.943,53.16,50.0,0.0632,0.1677,0.0985,0,0.9013634701917806,0.07870488256099738,0.01993164724722203,0
Site_1,0,24.05,59.12,0.8258,48.76,50.0,-0.0248,0.135,0.0821,0,0.9617588067124073,0.03083926154756434,0.007401931740028421,0
Site_1,1,35.41,45.0,0.7467,64.57,50.0,0.2915,0.5135,0.3615,1,0.02848905700803473,0.9338411264600539,0.037669816531911406,1
Site_1,1,31.71,69.74,0.696,67.65,50.0,0.3531,0.3902,0.3562,1,0.074119686185994,0.8153890844300307,0.11049122938397526,1
Site_1,2,44.16,34.39,0.602,65.14,50.0,0.3028,0.8054,0.4977,2,0.058252105839171606,0.31061849097935884,0.6311294031814694,2
Site_1,0,29.42,58.04,0.9664,51.71,50.0,0.0342,0.3142,0.1321,0,0.7730049597806217,0.1831143294734756,0.04388071074590256,0
Site_1,2,42.65,45.45,0.4284,84.01,50.0,0.6803,0.755,0.6847,2,0.03634159505433887,0.10112650227674366,0.8625319026689175,2
Site_1,0,22.76,66.17,0.8967,45.98,50.0,-0.0804,0.092,0.0528,0,0.9779982084263524,0.017042349748744086,0.004959441824903335,0
Site_1,1,36.9,66.51,0.7575,59.29,50.0,0.1857,0.5633,0.3292,1,0.043780405100571414,0.9163767461083172,0.03984284879111143,1
Site_1,1,32.94,57.18,0.77,69.77,50.0,0.3955,0.4314,0.375,1,0.10490866066480152,0.760160995338932,0.13493034399626638,1
Site_1,1,28.13,45.0,0.7073,70.15,50.0,0.403,0.271,0.3347,1,0.16612589203880274,0.6581315134021727,0.17574259455902458,1
Site_1,2,43.37,43.87,0.5477,80.7,50.0,0.614,0.7792,0.6395,2,0.020014145896389328,0.06822207053028308,0.9117637835733275,2
Site_1,0,22.74,46.3,0.889,50.95,50.0,0.0189,0.0913,0.0627,0,0.9746773359350734,0.020038545658576136,0.00528411840635019,0
Site_1,0,25.04,50.38,0.9185,50.35,50.0,0.0069,0.1681,0.0783,0,0.9691660135886385,0.02465670368938599,0.0061772827219756885,0
Site_1,1,33.58,53.17,0.7449,62.44,50.0,0.2489,0.4525,0.3214,1,0.01491809569324901,0.9726064618981499,0.012475442408601104,1
Site_1,1,26.0,54.7,0.7269,56.81,50.0,0.1361,0.2,0.1859,1,0.43258729056582185,0.4911333555261578,0.07627935390802022,1
Site_1,1,37.12,60.37,0.716,60.68,50.0,0.2136,0.5706,0.3526,1,0.023846526010607327,0.9423663844343381,0.033787089555054696,1
Site_1,0,22.06,56.85,0.9406,44.19,50.0,-0.1163,0.0688,0.036,0,0.9337388631953661,0.05013603978517485,0.016125097019459033,0
Site_1,0,24.6,53.87,0.8001,41.53,50.0,-0.1693,0.1534,0.0937,0,0.859349029727769,0.10887378789170264,0.03177718238052837,0
Site_1,1,32.52,62.94,0.55,55.26,50.0,0.1052,0.4173,0.2834,1,0.15649377772572418,0.642604471387416,0.20090175088685971,1
Site_1,0,15.5,43.97,0.9225,47.92,50.0,-0.0416,0.0,0.0155,0,0.9309414606047809,0.052273316070147846,0.016785223325071142,0
Site_1,1,33.17,67.3,0.7244,62.91,50.0,0.2583,0.4389,0.325,1,0.012937745909334625,0.9747271697282417,0.012335084362423754,1
Site_1,1,27.01,57.93,0.7404,64.79,50.0,0.2958,0.2335,0.2668,1,0.22987816302992076,0.6647090706144624,0.1054127663556169,1
Site_1,1,35.75,56.55,0.5837,65.89,50.0,0.3178,0.5251,0.4101,1,0.06368436634804978,0.5794420979896165,0.35687353566233365,1
Site_1,2,45.3,39.98,0.506,83.69,50.0,0.6738,0.8434,0.6972,2,0.03347002770329807,0.09836771319535904,0.8681622591013429,2
Site_1,0,29.61,54.62,0.8785,47.46,50.0,-0.0507,0.3204,0.1364,0,0.8258208082495216,0.14361349274667393,0.030565699003804386,0
Site_1,2,41.15,51.87,0.3023,77.23,50.0,0.5445,0.7049,0.6313,2,0.056606309193214,0.14574736412409614,0.7976463266826898,2
Site_1,0,22.08,54.16,0.9186,53.31,50.0,0.0663,0.0694,0.0704,0,0.9182837289740179,0.0639849802281109,0.017731290797871172,0
Site_1,2,41.48,51.95,0.4389,83.65,50.0,0.6731,0.7161,0.6657,2,0.03404356493099561,0.09721157410022958,0.8687448609687748,2
Site_1,0,29.8,68.0,0.8145,50.96,50.0,0.0191,0.3268,0.1601,0,0.6453977686822495,0.30870044766752913,0.045901783650221295,0
Site_1,0,19.05,38.38,0.7858,52.12,50.0,0.0424,0.0,0.0619,0,0.8194847659800055,0.14027216717795904,0.04024306684203542,0
Site_1,2,47.39,43.4,0.3852,69.36,50.0,0.3873,0.913,0.6168,2,0.04761007952677331,0.13757769314779225,0.8148122273254345,2
Site_1,1,38.22,66.81,0.7337,66.41,50.0,0.3283,0.6075,0.4136,1,0.05744633978370756,0.8000228547839549,0.1425308054323376,1
Site_1,1,29.89,56.04,0.7546,74.0,50.0,0.48,0.3296,0.3804,1,0.16569690947823745,0.6145545564831874,0.21974853403857525,1
Site_1,1,30.11,59.35,0.7743,50.0,50.0,0.0,0.3371,0.1631,0,0.545668169746426,0.3966474642757022,0.05768436597787184,0
Site_1,1,35.51,65.77,0.6904,62.29,50.0,0.2458,0.5169,0.3535,1,0.010824653529754301,0.9717326198326087,0.017442726637636935,1
Site_1,1,33.59,53.74,0.6695,54.95,50.0,0.0991,0.4529,0.2692,1,0.09491763886557587,0.8404461835221818,0.06463617761224232,1
Site_1,1,38.5,55.56,0.6397,59.13,50.0,0.1825,0.6167,0.3701,1,0.06420717300818997,0.7805270732504596,0.15526575374135043,1
Site_1,1,33.93,61.95,0.6393,51.65,50.0,0.033,0.4642,0.2495,1,0.172690841712112,0.7120703517302283,0.11523880655765963,1
Site_1,0,27.3,68.0,0.8369,39.51,50.0,-0.2097,0.2434,0.1178,0,0.820333682259032,0.1388199378701704,0.04084637987079753,0
Site_1,0,22.12,47.57,0.9187,42.08,50.0,-0.1583,0.0707,0.041,0,0.9210262704175084,0.059499084421616055,0.019474645160875558,0
Site_1,1,30.78,71.07,0.85,65.93,50.0,0.3185,0.3592,0.2991,1,0.2296096105305586,0.6681487375446648,0.1022416519247767,1
Site_1,2,45.51,54.78,0.5273,79.7,50.0,0.594,0.8504,0.6595,2,0.02034610871083667,0.06641090285751781,0.9132429884316455,2
Site_1,0,22.32,50.75,0.9355,54.81,50.0,0.0962,0.0772,0.0832,0,0.878047608387008,0.09532019842843209,0.026632193184559873,0
Site_1,1,34.36,65.79,0.6106,66.19,50.0,0.3238,0.4786,0.3911,1,0.0629947912862261,0.7041216284890056,0.2328835802247683,1
Site_1,1,29.58,58.77,0.7231,57.41,50.0,0.1481,0.3192,0.2338,1,0.18325631805482245,0.7595642882914782,0.05717939365369934,1
Site_1,0,25.62,50.52,0.8292,45.09,50.0,-0.0982,0.1873,0.0997,0,0.9325619438357676,0.05390189234626668,0.013536163817965682,0
Site_1,0,24.28,47.68,0.8207,48.27,50.0,-0.0346,0.1426,0.0858,0,0.9544515811923536,0.0367484221398007,0.008799996667845547,0
Site_1,0,26.58,51.73,0.8839,45.03,50.0,-0.0994,0.2194,0.1,0,0.9456289350529747,0.043252314384740954,0.011118750562284337,0
Site_1,0,20.96,51.72,0.8328,51.2,50.0,0.024,0.0321,0.0555,0,0.9149488323619414,0.06668008952685668,0.018371078111201897,0
Site_1,0,22.12,55.94,0.8741,48.95,50.0,-0.0209,0.0708,0.05,0,0.9804343396178841,0.015330243567290007,0.004235416814825892,0
Site_1,0,28.12,46.79,0.8751,51.98,50.0,0.0397,0.2708,0.1376,0,0.843003859234487,0.13235402971154367,0.024642111053969424,0
Site_1,0,27.29,45.95,0.9064,50.97,50.0,0.0194,0.243,0.1125,0,0.9123424327591176,0.07195459133954257,0.01570297590133978,0
Site_1,0,18.26,38.32,0.8969,42.25,50.0,-0.1551,0.0,0.0206,0,0.9026277847929693,0.07253400695300412,0.02483820825402669,0
Site_1,0,21.59,50.98,0.8467,50.71,50.0,0.0142,0.0531,0.0557,0,0.945786289846331,0.042697234559041834,0.011516475594627042,0
Site_1,0,24.19,61.51,0.8347,40.68,50.0,-0.1865,0.1396,0.0819,0,0.8854959895946183,0.08775055415977269,0.02675345624560907,0
Site_1,1,36.55,64.15,0.6534,61.55,50.0,0.2309,0.5518,0.3664,1,0.03460341623478248,0.8870909867550418,0.07830559701017561,1
Site_1,2,38.93,47.87,0.5672,75.15,50.0,0.503,0.6309,0.5337,2,0.019757242761243868,0.0937243985367166,0.8865183587020394,2
Site_1,2,37.27,55.68,0.5786,63.86,50.0,0.2773,0.5756,0.4105,1,0.06379058322390355,0.5694479752344943,0.36676144154160206,1
Site_1,1,36.03,59.14,0.8196,59.85,50.0,0.1969,0.5345,0.3118,1,0.111451347346717,0.8231286841063988,0.06541996854688421,1
Site_1,0,23.56,63.58,0.9123,39.31,50.0,-0.2138,0.1188,0.0591,0,0.8841501540846393,0.08689597439563126,0.028953871519729547,0
Site_1,2,41.29,61.96,0.484,71.29,50.0,0.4258,0.7095,0.5431,2,0.006836658051596507,0.02795128494529499,0.9652120570031086,2
Site_1,1,35.15,74.36,0.6465,63.29,50.0,0.2658,0.5049,0.367,1,0.03484214615403141,0.8830832744238635,0.08207457942210511,1
Site_1,1,29.08,46.47,0.7437,62.32,50.0,0.2464,0.3027,0.2681,1,0.1512545535240143,0.7828304016730957,0.06591504480289,1
Site_1,2,39.55,38.04,0.5516,77.32,50.0,0.5464,0.6517,0.5636,2,0.014885388315284461,0.06149355537434333,0.9236210563103722,2
Site_1,1,33.9,70.01,0.8443,51.24,50.0,0.0249,0.4633,0.2045,1,0.4230436775476687,0.503102832464118,0.07385348998821323,1
Site_1,2,44.0,46.75,0.6393,71.77,50.0,0.4354,0.7999,0.548,2,0.04410467774322236,0.21689826796545433,0.7389970542913232,2
Site_1,2,40.23,65.0,0.627,76.77,50.0,0.5355,0.6744,0.5516,2,0.03802095782156255,0.1775049209667684,0.784474121211669,2
Site_1,0,32.76,48.64,0.8915,49.47,50.0,-0.0106,0.4253,0.1706,0,0.6093586666491685,0.327332306648501,0.06330902670233055,0
Site_1,0,24.39,57.66,0.8087,47.04,50.0,-0.0591,0.1463,0.0894,0,0.9323636437519339,0.054290936782980206,0.013345419465085908,0
Site_1,2,38.92,53.79,0.5522,70.42,50.0,0.4084,0.6307,0.4941,2,0.025258369701614606,0.14229316179194662,0.8324484685064387,2
Site_1,0,29.9,47.87,0.93,49.96,50.0,-0.0009,0.33,0.1295,0,0.7922694203691133,0.1700747979084737,0.03765578172241296,0
Site_1,0,28.72,57.27,0.8434,48.49,50.0,-0.0301,0.2906,0.133,0,0.8377455554335465,0.13591829359498386,0.026336150971469737,0
Site_1,2,46.89,48.13,0.5018,79.48,50.0,0.5896,0.8962,0.6786,2,0.025270249199313175,0.07806245684906048,0.8966672939516263,2
Site_1,1,39.96,69.32,0.6322,51.6,50.0,0.032,0.6653,0.3208,1,0.14822472558917957,0.646841042694412,0.20493423171640845,1
Site_1,0,27.13,47.92,0.933,56.02,50.0,0.1205,0.2376,0.1508,0,0.7698703232032865,0.1888100189796188,0.04131965781709462,0
Site_1,2,39.46,47.53,0.4366,66.94,50.0,0.3389,0.6486,0.4922,2,0.041824404920642405,0.16014474868412878,0.7980308463952289,2
Site_1,1,31.81,80.0,0.7026,64.84,50.0,0.2968,0.3935,0.3308,1,0.04709824011676796,0.900795059775998,0.05210670010723392,1
Site_1,1,30.39,54.51,0.85,59.15,50.0,0.1831,0.3464,0.2336,1,0.3591115934860262,0.5742968311033112,0.06659157541066255,1
Site_1,0,20.83,49.11,0.8621,43.71,50.0,-0.1258,0.0277,0.0373,0,0.9272125823446277,0.05516609817026903,0.0176213194851034,0
Site_1,1,33.35,68.24,0.7698,63.13,50.0,0.2625,0.4449,0.3199,1,0.04198672205154675,0.9272047074814674,0.03080857046698589,1
Site_1,2,41.01,60.3,0.72,60.82,50.0,0.2165,0.7003,0.3985,1,0.07941255244857398,0.7484520544772493,0.17213539307417675,1
Site_1,0,25.04,60.3,0.8696,54.17,50.0,0.0834,0.168,0.1224,0,0.8917937305423476,0.08933005001716007,0.018876219440492236,0
Site_1,1,30.02,62.34,0.7495,61.79,50.0,0.2358,0.3341,0.2731,1,0.11521204773638559,0.8331295857126554,0.051658366550959026,1
Site_1,2,40.79,42.73,0.4184,76.16,50.0,0.5233,0.6929,0.5943,2,0.01776667428898004,0.05706417403968182,0.9251691516713382,2
Site_1,1,31.12,50.68,0.55,56.57,50.0,0.1313,0.3708,0.2789,1,0.16273537513477476,0.6397163416254976,0.1975482832397276,1
Site_1,0,24.08,46.37,0.9549,47.91,50.0,-0.0418,0.1361,0.0567,0,0.9490646638366914,0.03951530441486639,0.01142003174844208,0
Site_1,2,42.42,41.04,0.6503,69.35,50.0,0.387,0.7472,0.5056,2,0.05402267745007788,0.33595302151678663,0.6100243010331355,2
Site_1,2,37.35,35.34,0.3562,71.92,50.0,0.4384,0.5784,0.5285,2,0.056619391944622774,0.16672087924903234,0.7766597288063448,2
Site_1,1,33.46,65.07,0.7564,57.22,50.0,0.1444,0.4488,0.2708,1,0.06854026410211977,0.9008953349100147,0.030564400987865514,1
Site_1,1,27.68,73.53,0.6119,66.9,50.0,0.338,0.2558,0.3192,1,0.15885289615444434,0.6300044499267534,0.21114265391880224,1
